"bucket_bound","bucket_count"
"6.430578","8298650.0"
"93.05376","552659.0"
"278.93304","183767.0"
"575.82574","93690.0"
"1071.2368","58470.0"
"1830.563","31213.0"
"2662.9312","14529.0"
"3548.4138","11495.0"
"4535.4263","6536.0"
"5472.061","5093.0"
"6518.023","4357.0"
"7770.791","3945.0"
"9243.119","3053.0"
"10913.379","2439.0"
"13216.27","3060.0"
"15866.105","1471.0"
"18485.012","1612.0"
"21469.914","1010.0"
"24065.074","719.0"
"27328.127","994.0"
"32180.041","967.0"
"36930.418","464.0"
"40589.29","389.0"
"44315.223","406.0"
"49244.848","445.0"
"54694.918","292.0"
"61089.105","449.0"
"68507.51","233.0"
"75508.94","265.0"
"84405.15","244.0"
"94493.53","195.0"
"103319.97","121.0"
"111284.92","138.0"
"122332.39","132.0"
"133207.11","104.0"
"144784.36","93.0"
"154173.53","79.0"
"166002.52","80.0"
"177167.36","68.0"
"191333.45","58.0"
"203699.34","47.0"
"220804.89","78.0"
"239896.61","53.0"
"259844.6","54.0"
"280195.5","32.0"
"298758.97","30.0"
"313378.44","25.0"
"327663.6","23.0"
"346854.06","28.0"
"367973.0","25.0"
"392245.22","22.0"
"418178.16","21.0"
"438421.66","17.0"
"459528.94","17.0"
"494365.4","24.0"
"528279.3","15.0"
"554930.94","14.0"
"583806.75","12.0"
"619894.44","14.0"
"650759.6","10.0"
"684033.44","18.0"
"720487.7","16.0"
"754232.7","12.0"
"792323.5","10.0"
"826298.7","7.0"
"865333.25","8.0"
"911715.0","7.0"
"966385.0","7.0"
"1016254.25","4.0"
"1075788.0","4.0"
"1133358.0","3.0"
"1169788.8","8.0"
"1245373.5","2.0"
"1314612.5","2.0"
"1381342.0","4.0"
"1463457.6","8.0"
"1556531.0","2.0"
"1653805.5","2.0"
"1749756.6","3.0"
"1854178.0","2.0"
"1997770.4","5.0"
"2067660.0","1.0"
"2130202.0","3.0"
"2194158.5","2.0"
"2350753.8","3.0"
"2417722.0","1.0"
"2528028.8","3.0"
"2626969.0","2.0"
"2729067.0","2.0"
"2851681.2","5.0"
"2940614.5","2.0"
"3003414.0","1.0"
"3152481.0","1.0"
"3299115.0","1.0"
"3587357.0","1.0"
"3920553.0","1.0"
"4681022.0","1.0"
"5000459.0","1.0"
"6425434.0","1.0"
"7377351.0","1.0"
